emp_id,first_name,last_name,department,join_date,monthly_salary,birth_date
CU025,Aubrey,Clark,Customer Support & Service,2012-01-04,6700,1956-03-29
CU026,Preston,Clark,Customer Support & Service,2012-01-04,6700,1956-04-12
CU031,Josephine,Meyers,Customer Support & Service,2012-01-05,6900,1989-11-05
CU041,Irene,Ward,Customer Support & Service,2012-01-14,6600,1960-09-20
CU050,Faith,Gonzales,Customer Support & Service,2012-01-19,6500,1961-10-21
CU057,Wendy,Richardson,Customer Support & Service,2012-01-19,6500,1983-04-28
CU059,Dale,Butler,Customer Support & Service,2012-01-28,6900,1989-12-19
CU064,Laura,Griffin,Customer Support & Service,2012-01-28,6800,1950-11-18
CU066,Steven,Butler,Customer Support & Service,2012-01-28,6900,1950-04-12
CU068,Addison,Jones,Customer Support & Service,2013-05-18,6800,1950-12-02
CU069,Nathan,Jones,Customer Support & Service,2013-05-18,6800,1951-01-16
CU120,Gerald,Harrison,Customer Support & Service,2015-09-08,6900,1950-05-26
CU128,Dominique,Reynolds,Customer Support & Service,2015-09-17,6500,1983-05-12
CU133,Lily,Marshall,Customer Support & Service,2015-09-17,6600,1960-10-04
CU135,Timothy,Reynolds,Customer Support & Service,2015-09-17,6500,1983-06-26
CU137,Bruce,Evans,Customer Support & Service,2015-09-22,6900,1950-06-09
CU142,Karla,Cook,Customer Support & Service,2015-09-22,6800,1951-02-01
CU144,Robin,Evans,Customer Support & Service,2015-09-22,6900,1950-07-23
CU152,Hester,Bailey,Customer Support & Service,2016-03-05,6500,1983-07-10
CU161,Erin,Perry,Customer Support & Service,2016-03-11,6800,1951-03-14
CU171,Cole,Henderson,Customer Support & Service,2016-03-19,6600,1960-11-18
CU176,Kristie,Hughes,Customer Support & Service,2016-03-19,6900,1950-08-06
CU178,Simone,Henderson,Customer Support & Service,2016-03-19,6600,1960-12-02
CU180,Amelia,Harris,Customer Support & Service,2016-03-27,6500,1983-08-24
CU181,Oscar,Harris,Customer Support & Service,2016-03-27,6500,1983-09-07
CU186,Joel,Mcdonald,Customer Support & Service,2016-03-28,6600,1961-01-16
CU194,Deanna,Myers,Customer Support & Service,2017-11-05,6800,1955-09-07
CU199,Leo,West,Customer Support & Service,2017-11-05,6500,1983-10-21
CU201,Taylor,Myers,Customer Support & Service,2017-11-05,6800,1955-10-21
CU203,Bethany,Baker,Customer Support & Service,2017-11-14,6600,1961-02-01
CU208,Juliana,Turner,Customer Support & Service,2017-11-14,6600,1961-03-14
CU210,Randy,Baker,Customer Support & Service,2017-11-14,6600,1961-04-28
CU218,Jacqueline,Price,Customer Support & Service,2017-11-22,6900,1950-09-20
CU318,Ellen,Kelly,Customer Support & Service,2020-05-03,6700,1956-05-26
CU323,Lynn,Parker,Customer Support & Service,2020-05-03,6700,1956-06-09
CU325,Vaughn,Phillips,Customer Support & Service,2020-05-03,6700,1956-07-23
CU328,Cheryl,James,Customer Support & Service,2020-05-11,6500,1983-11-05
CU333,Kerry,Wood,Customer Support & Service,2020-05-11,6600,1961-05-12
CU335,Selena,James,Customer Support & Service,2020-05-11,6500,1950-03-29
CU341,Jerome,Woods,Customer Support & Service,2020-05-19,6500,1983-12-19
CU350,Harrison,Mitchell,Customer Support & Service,2020-05-25,6800,1955-11-05
CU403,Caroline,Rivera,Customer Support & Service,2022-07-03,6800,1955-12-19
CU408,Keely,Peterson,Customer Support & Service,2022-07-03,6500,1984-01-02
CU410,Ruth,Rivera,Customer Support & Service,2022-07-03,6800,1956-01-02
CU417,Jeanne,Alexander,Customer Support & Service,2022-07-08,6800,1956-02-15
CU427,Grant,Holmes,Customer Support & Service,2022-07-17,6700,1960-07-23
CU437,Eduardo,Dawson,Customer Support & Service,2022-07-25,6600,1961-06-26
CU442,Lorraine,Jennings,Customer Support & Service,2022-07-25,6900,1950-10-04
CU444,Trina,Case,Customer Support & Service,2022-07-25,6600,1961-07-10
FI027,Claudia,Barnes,Finance & Accounting,2012-01-05,7700,1983-03-14
FI032,Kristen,Long,Finance & Accounting,2012-01-05,7900,1980-09-20
FI034,Sherry,Barnes,Finance & Accounting,2012-01-05,7700,1983-04-28
FI036,Alice,Jackson,Finance & Accounting,2012-01-13,7500,1984-09-20
FI037,Owen,Jackson,Finance & Accounting,2012-01-13,7500,1984-10-04
FI042,Joann,Harrison,Finance & Accounting,2012-01-14,7700,1983-05-12
FI051,Herbert,Stewart,Finance & Accounting,2012-01-19,7500,1984-11-18
FI060,Eric,Coleman,Finance & Accounting,2012-01-28,7800,1982-03-29
FI067,Viola,Evans,Finance & Accounting,2012-01-28,7800,1982-04-12
